OrderID,Order Date,Location,Order Status,Payment Method,Preparation Start time,Preparation End time,Delivery Start Time,Delivery End Time,Item Quantity,Item,Price of Item,Total Amount,Weekday Classification,Meal Time,Order Time,Stock Out Items,Revenue Loss,Preparation time,Driver Assign Time,Delivery Time,Actual Time,Average Expected Time,Bonus Time,Order Delivery Details
OD1889,11/29/2024,Malleswaram,Delivered,UPI,1:57:37 PM,2:11:37 PM,2:13:37 PM,2:27:37 PM,1,Chicken Tikka,355,355,Weekend,Noon,Non-Peak Time,0,0,14,2,14,30,22,5,Delayed
OD0756,11/16/2024,Whitefield,Delivered,UPI,3:15:58 PM,3:39:58 PM,3:40:58 PM,3:57:58 PM,2,Paneer Tikka,180,360,Weekend,Evening,Non-Peak Time,0,0,24,1,17,42,38,5,No issuse
OD1953,11/30/2024,Jayanagar,Delivered,COD,3:41:59 PM,3:55:59 PM,3:57:59 PM,4:28:59 PM,3,Sushi,350,1050,Weekend,Evening,Non-Peak Time,0,0,14,2,31,47,40,5,Delayed
OD0757,11/16/2024,Malleswaram,Delivered,Credit Card,10:25:19 PM,10:44:19 PM,10:50:19 PM,11:02:19 PM,1,Chicken Tikka,355,355,Weekend,Night,Non-Peak Time,0,0,19,6,12,37,22,5,Delayed
OD0758,11/2/2024,Whitefield,Delivered,UPI,8:20:38 AM,8:57:38 AM,8:58:38 AM,9:10:38 AM,2,Idli,65,130,Weekend,Morning,Peak time,0,0,37,1,12,50,32,20,No issuse
OD2050,11/2/2024,Brigade Road,Delivered,UPI,11:03:00 AM,11:14:00 AM,11:16:00 AM,11:27:00 AM,3,Puri Bhaji,150,450,Weekend,Morning,Non-Peak Time,0,0,11,2,11,24,39,5,No issuse
OD0338,11/9/2024,HSR Layout,Delivered,COD,12:59:36 PM,1:34:36 PM,1:36:36 PM,1:48:36 PM,1,Paneer Tikka,180,180,Weekend,Noon,Non-Peak Time,0,0,35,2,12,49,43,5,Delayed
OD1081,11/17/2024,Jayanagar,Delivered,Online Payment,10:15:06 PM,10:40:06 PM,10:42:06 PM,10:59:06 PM,1,Sushi,350,350,Weekend,Night,Non-Peak Time,0,0,25,2,17,44,40,5,No issuse
OD1890,11/29/2024,MG Road,Delivered,COD,2:53:41 PM,3:04:41 PM,3:06:41 PM,3:19:41 PM,1,Paneer Tikka,180,180,Weekend,Noon,Non-Peak Time,0,0,11,2,13,26,43,5,No issuse
OD0493,11/8/2024,BTM Layout,Delivered,Online Payment,10:44:54 PM,11:10:54 PM,11:12:54 PM,11:23:54 PM,2,Pav Bhaji,150,300,Weekend,Night,Non-Peak Time,0,0,26,2,11,39,37,5,No issuse
OD1152,11/18/2024,Jayanagar,Delivered,UPI,9:20:10 PM,10:19:10 PM,10:21:10 PM,10:38:10 PM,2,Chicken Curry,325,650,Weekday,Night,Peak time,0,0,59,2,17,78,34,20,Delayed
OD0218,11/4/2024,Jayanagar,Delivered,COD,11:30:47 AM,12:29:47 PM,12:35:47 PM,12:47:47 PM,3,Chole Bhature,200,600,Weekday,Morning,Non-Peak Time,0,0,59,6,12,77,36,5,Delayed
OD0285,11/8/2024,MG Road,Cancelled,Not Required,,,,,0,Butter Chicken,315,0,Weekend,Morning,Non-Peak Time,2,630,0,0,0,0,0,0,Cancelled
OD1354,11/21/2024,Koramangala,Delivered,UPI,12:25:07 PM,12:46:07 PM,12:48:07 PM,1:01:07 PM,1,Poha,75,75,Weekday,Noon,Non-Peak Time,0,0,21,2,13,36,27,5,Delayed
OD1757,11/27/2024,MG Road,Delivered,COD,6:37:33 PM,6:57:33 PM,6:59:33 PM,7:16:33 PM,1,Pav Bhaji,150,150,Weekday,Evening,Peak time,0,0,20,2,17,39,42,20,No issuse
OD1758,11/27/2024,Marathahalli,Delivered,Online Payment,10:00:21 AM,11:00:21 AM,11:02:21 AM,11:27:21 AM,2,Poha,75,150,Weekday,Morning,Non-Peak Time,0,0,60,2,25,87,27,5,Delayed
OD0001,11/1/2024,Koramangala,Delivered,Online Payment,6:39:56 PM,6:53:56 PM,7:05:56 PM,7:32:56 PM,1,Pizza,450,450,Weekend,Evening,Peak time,0,0,14,12,27,53,38,20,No issuse
OD0063,11/2/2024,Marathahalli,Delivered,COD,11:09:23 PM,11:23:23 PM,11:25:23 PM,11:36:23 PM,4,Butter Naan,40,160,Weekend,Night,Non-Peak Time,0,0,14,2,11,27,22,5,No issuse
OD1687,11/26/2024,Jayanagar,Delivered,Online Payment,11:37:19 AM,12:11:19 PM,12:13:19 PM,12:26:19 PM,1,Ghee Upma,99,99,Weekday,Morning,Non-Peak Time,0,0,34,2,13,49,32,5,Delayed
OD1891,11/29/2024,Koramangala,Delivered,UPI,1:52:01 PM,2:39:01 PM,2:40:01 PM,2:50:01 PM,1,Paneer Tikka,180,180,Weekend,Noon,Non-Peak Time,0,0,47,1,10,58,33,5,Delayed
OD1218,11/24/2024,Jayanagar,Delivered,Online Payment,8:26:13 AM,8:43:13 AM,8:45:13 AM,9:17:13 AM,3,Aloo Paratha,110,330,Weekend,Morning,Peak time,0,0,17,2,32,51,24,20,Delayed
OD2014,11/1/2024,Malleswaram,Delivered,Credit Card,8:17:30 AM,8:45:30 AM,8:47:30 AM,9:01:30 AM,1,Idli,65,65,Weekend,Morning,Peak time,0,0,28,2,14,44,27,20,No issuse
OD1498,11/23/2024,MG Road,Delivered,Credit Card,9:04:50 AM,9:16:50 AM,9:18:50 AM,9:40:50 AM,1,Puri Bhaji,150,150,Weekend,Morning,Peak time,0,0,12,2,22,36,37,20,No issuse
OD0219,11/4/2024,HSR Layout,Delivered,Online Payment,4:33:38 PM,5:00:38 PM,5:02:38 PM,5:16:38 PM,1,Hakka Noodles,260,260,Weekday,Evening,Non-Peak Time,0,0,27,2,14,43,38,5,No issuse
OD0220,11/4/2024,HSR Layout,Delivered,COD,2:07:51 PM,2:19:51 PM,2:21:51 PM,2:32:51 PM,3,Butter Chicken,315,945,Weekday,Noon,Non-Peak Time,0,0,12,2,11,25,37,5,No issuse
OD0416,11/15/2024,BTM Layout,Delivered,COD,6:08:00 PM,6:57:00 PM,6:59:00 PM,7:09:00 PM,4,Pasta,250,1000,Weekend,Evening,Peak time,0,0,49,2,10,61,46,20,No issuse
OD1499,11/16/2024,Indiranagar,Delivered,UPI,8:33:35 AM,8:53:35 AM,8:55:35 AM,9:21:35 AM,1,Chole Bhature,200,200,Weekend,Morning,Peak time,0,0,20,2,26,48,39,20,No issuse
OD0494,11/8/2024,Malleswaram,Delivered,Credit Card,9:55:28 PM,10:16:28 PM,10:18:28 PM,10:32:28 PM,2,Veg Biryani,290,580,Weekend,Night,Peak time,0,0,21,2,14,37,37,20,No issuse
OD1019,11/16/2024,Marathahalli,Delivered,COD,10:30:55 PM,10:45:55 PM,10:46:55 PM,11:05:55 PM,1,Paneer Paratha,160,160,Weekend,Night,Non-Peak Time,0,0,15,1,19,35,30,5,No issuse
OD0695,11/11/2024,MG Road,Delivered,Online Payment,4:50:26 PM,5:18:26 PM,5:25:26 PM,5:39:26 PM,1,Noodles,250,250,Weekday,Evening,Non-Peak Time,0,0,28,7,14,49,32,5,Delayed
OD1082,11/17/2024,Malleswaram,Delivered,UPI,5:22:19 PM,5:36:19 PM,5:38:19 PM,5:51:19 PM,2,Pizza,450,900,Weekend,Evening,Non-Peak Time,0,0,14,2,13,29,38,5,No issuse
OD1623,11/25/2024,Whitefield,Delivered,Online Payment,6:48:15 PM,7:00:15 PM,7:08:15 PM,7:53:15 PM,2,Samosa,20,40,Weekday,Evening,Peak time,0,0,12,8,45,65,27,20,Delayed
OD1355,11/21/2024,Brigade Road,Delivered,Online Payment,9:34:25 AM,10:16:25 AM,10:22:25 AM,10:33:25 AM,4,Poha,75,300,Weekday,Morning,Peak time,0,0,42,6,11,59,39,20,No issuse
OD0625,11/10/2024,Malleswaram,Delivered,COD,3:58:01 PM,4:15:01 PM,4:16:01 PM,4:29:01 PM,2,Chole Bhature,200,400,Weekend,Evening,Non-Peak Time,0,0,17,1,13,31,34,5,No issuse
OD1219,11/22/2024,Malleswaram,Delivered,Online Payment,4:59:34 PM,5:32:34 PM,5:34:34 PM,5:48:34 PM,4,Butter Naan,40,160,Weekend,Evening,Non-Peak Time,0,0,33,2,14,49,22,5,Delayed
OD0337,11/9/2024,Malleswaram,Cancelled,Not Required,,,,,0,Veg Biryani,290,0,Weekend,Morning,Non-Peak Time,3,870,0,0,0,0,0,0,Cancelled
OD0495,11/8/2024,Whitefield,Delivered,UPI,2:13:04 PM,2:46:04 PM,2:48:04 PM,3:02:04 PM,2,Mutton Biryani,390,780,Weekend,Noon,Non-Peak Time,0,0,33,2,14,49,52,5,No issuse
OD0759,11/12/2024,Indiranagar,Delivered,Credit Card,10:20:29 PM,10:41:29 PM,10:43:29 PM,10:56:29 PM,2,Pav Bhaji,150,300,Weekday,Night,Non-Peak Time,0,0,21,2,13,36,37,5,No issuse
OD1561,11/24/2024,Malleswaram,Delivered,UPI,10:57:11 AM,11:10:11 AM,11:12:11 AM,11:22:11 AM,1,Masala Dosa,120,120,Weekend,Morning,Non-Peak Time,0,0,13,2,10,25,24,5,No issuse
OD1220,11/9/2024,BTM Layout,Delivered,Credit Card,8:26:02 AM,8:39:02 AM,8:57:02 AM,9:27:02 AM,2,Aloo Paratha,110,220,Weekend,Morning,Peak time,0,0,13,18,30,61,27,20,Delayed
OD0626,11/10/2024,Whitefield,Delivered,COD,12:07:23 PM,12:48:23 PM,12:50:23 PM,1:03:23 PM,1,Noodles,250,250,Weekend,Noon,Non-Peak Time,0,0,41,2,13,56,27,5,Delayed
OD1688,11/23/2024,Koramangala,Delivered,Online Payment,7:48:29 PM,8:11:29 PM,8:13:29 PM,8:25:29 PM,1,Burger,210,210,Weekend,Night,Peak time,0,0,23,2,12,37,28,20,No issuse
OD1689,11/26/2024,MG Road,Delivered,UPI,3:47:31 PM,4:20:31 PM,4:22:31 PM,4:35:31 PM,2,Chicken Curry,325,650,Weekday,Evening,Non-Peak Time,0,0,33,2,13,48,42,5,Delayed
OD1562,11/24/2024,Indiranagar,Delivered,COD,1:10:10 PM,1:54:10 PM,1:56:10 PM,2:07:10 PM,1,Hakka Noodles,260,260,Weekend,Noon,Non-Peak Time,0,0,44,2,11,57,33,5,Delayed
OD0139,11/3/2024,HSR Layout,Delivered,Credit Card,2:59:13 PM,3:21:13 PM,3:23:13 PM,3:35:13 PM,3,Pizza,450,1350,Weekend,Noon,Non-Peak Time,0,0,22,2,12,36,48,5,No issuse
OD2051,11/17/2024,BTM Layout,Delivered,COD,8:20:25 PM,8:40:25 PM,8:45:25 PM,9:00:25 PM,3,Fried Rice,250,750,Weekend,Night,Peak time,0,0,20,5,15,40,37,20,No issuse
OD0064,11/2/2024,MG Road,Delivered,Credit Card,7:32:12 PM,8:01:12 PM,8:03:12 PM,8:45:12 PM,2,Mutton Biryani,390,780,Weekend,Night,Peak time,0,0,29,2,42,73,57,20,No issuse
OD0957,11/15/2024,BTM Layout,Delivered,Online Payment,8:38:46 PM,9:13:46 PM,9:15:46 PM,10:00:46 PM,1,Sushi,350,350,Weekend,Night,Peak time,0,0,35,2,45,82,43,20,Delayed
OD1892,11/9/2024,Jayanagar,Delivered,Credit Card,11:53:54 AM,12:16:54 PM,12:18:54 PM,12:37:54 PM,2,Idli,65,130,Weekend,Morning,Non-Peak Time,0,0,23,2,19,44,29,5,Delayed
OD1624,11/25/2024,MG Road,Delivered,Online Payment,9:44:43 AM,10:31:43 AM,10:33:43 AM,11:18:43 AM,1,Puri Bhaji,150,150,Weekday,Morning,Peak time,0,0,47,2,45,94,37,20,Delayed
OD0140,11/3/2024,HSR Layout,Delivered,Online Payment,9:32:37 PM,10:03:37 PM,10:05:37 PM,10:20:37 PM,2,Chicken Curry,325,650,Weekend,Night,Peak time,0,0,31,2,15,48,42,20,No issuse
OD1356,11/21/2024,Malleswaram,Delivered,UPI,5:55:18 PM,6:11:18 PM,6:26:18 PM,6:58:18 PM,2,Mutton Biryani,390,780,Weekday,Evening,Non-Peak Time,0,0,16,15,32,63,47,5,Delayed
OD0065,11/2/2024,Marathahalli,Delivered,Credit Card,1:51:35 PM,2:11:35 PM,2:13:35 PM,2:26:35 PM,2,Chicken Curry,325,650,Weekend,Noon,Non-Peak Time,0,0,20,2,13,35,32,5,No issuse
OD0221,11/1/2024,Koramangala,Delivered,Credit Card,4:21:25 PM,4:40:25 PM,4:42:25 PM,4:56:25 PM,1,Paneer Tikka,180,180,Weekend,Evening,Non-Peak Time,0,0,19,2,14,35,33,5,No issuse
OD1357,11/21/2024,Marathahalli,Delivered,UPI,8:58:19 AM,9:32:19 AM,9:43:19 AM,10:15:19 AM,1,Chole Bhature,200,200,Weekday,Morning,Peak time,0,0,34,11,32,77,34,20,Delayed
OD0339,11/6/2024,MG Road,Delivered,COD,11:26:32 AM,11:40:32 AM,11:42:32 AM,11:57:32 AM,3,Paneer Paratha,160,480,Weekday,Morning,Non-Peak Time,0,0,14,2,15,31,40,5,No issuse
OD1153,11/18/2024,Marathahalli,Delivered,UPI,11:00:02 PM,11:30:02 PM,11:32:02 PM,11:45:02 PM,1,Chicken Tikka,355,355,Weekday,Night,Non-Peak Time,0,0,30,2,13,45,22,5,Delayed
OD1083,11/17/2024,Malleswaram,Delivered,UPI,9:32:30 PM,9:56:30 PM,9:58:30 PM,10:11:30 PM,2,Poha,75,150,Weekend,Night,Peak time,0,0,24,2,13,39,27,20,No issuse
OD0340,11/9/2024,Koramangala,Delivered,UPI,8:26:38 PM,8:47:38 PM,8:54:38 PM,9:06:38 PM,1,Masala Dosa,120,120,Weekend,Night,Peak time,0,0,21,7,12,40,24,20,No issuse
OD0760,11/12/2024,Jayanagar,Delivered,UPI,5:55:22 PM,6:10:22 PM,6:28:22 PM,7:18:22 PM,2,Pav Bhaji,150,300,Weekday,Evening,Non-Peak Time,0,0,15,18,50,83,34,5,Delayed
OD0412,11/9/2024,Jayanagar,Cancelled,Not Required,,,,,0,Chicken Biryani,350,0,Weekend,Morning,Non-Peak Time,3,1050,0,0,0,0,0,0,Cancelled
OD0341,11/2/2024,BTM Layout,Delivered,Online Payment,8:34:45 PM,9:23:45 PM,9:27:45 PM,9:39:45 PM,1,Burger,210,210,Weekend,Night,Peak time,0,0,49,4,12,65,33,20,Delayed
OD0066,11/2/2024,Indiranagar,Delivered,Online Payment,9:36:00 PM,10:13:00 PM,10:15:00 PM,10:33:00 PM,2,Fried Rice,250,500,Weekend,Night,Peak time,0,0,37,2,18,57,37,20,No issuse
OD0897,11/14/2024,Koramangala,Delivered,COD,9:53:31 PM,10:07:31 PM,10:09:31 PM,10:31:31 PM,2,Mutton Biryani,390,780,Weekday,Night,Peak time,0,0,14,2,22,38,47,20,No issuse
OD1625,11/25/2024,Indiranagar,Delivered,Online Payment,2:29:34 PM,2:52:34 PM,2:54:34 PM,3:05:34 PM,2,Fried Rice,250,500,Weekday,Noon,Non-Peak Time,0,0,23,2,11,36,37,5,No issuse
OD0761,11/12/2024,Jayanagar,Delivered,UPI,7:07:15 PM,7:55:15 PM,8:05:15 PM,8:38:15 PM,2,Chicken Biryani,350,700,Weekday,Night,Peak time,0,0,48,10,33,91,44,20,Delayed
OD0417,11/7/2024,HSR Layout,Delivered,Credit Card,9:58:34 PM,10:34:34 PM,10:36:34 PM,10:52:34 PM,2,Mutton Biryani,390,780,Weekday,Night,Peak time,0,0,36,2,16,54,57,20,No issuse
OD1626,11/25/2024,BTM Layout,Delivered,Online Payment,12:13:58 PM,12:24:58 PM,12:26:58 PM,12:41:58 PM,1,Sushi,350,350,Weekday,Noon,Non-Peak Time,0,0,11,2,15,28,43,5,No issuse
OD1358,11/21/2024,Indiranagar,Delivered,UPI,9:30:46 AM,10:07:46 AM,10:09:46 AM,10:29:46 AM,1,Ghee Upma,99,99,Weekday,Morning,Peak time,0,0,37,2,20,59,35,20,Delayed
OD1500,11/23/2024,MG Road,Delivered,Online Payment,2:33:26 PM,2:55:26 PM,2:57:26 PM,3:09:26 PM,2,Pasta,250,500,Weekend,Noon,Non-Peak Time,0,0,22,2,12,36,51,5,No issuse
OD1821,11/30/2024,Whitefield,Cancelled,Not Required,,,,,0,Fish Curry,190,0,Weekend,Morning,Non-Peak Time,1,190,0,0,0,0,0,0,Cancelled
OD0418,11/7/2024,Jayanagar,Delivered,Online Payment,8:46:39 PM,9:14:39 PM,9:16:39 PM,9:29:39 PM,4,Idli,65,260,Weekday,Night,Peak time,0,0,28,2,13,43,29,20,No issuse
OD1627,11/8/2024,Brigade Road,Delivered,COD,5:11:07 PM,5:24:07 PM,5:26:07 PM,5:38:07 PM,1,Paneer Tikka,180,180,Weekend,Evening,Non-Peak Time,0,0,13,2,12,27,45,5,No issuse
OD1271,11/20/2024,HSR Layout,Delivered,Online Payment,10:14:47 PM,10:46:47 PM,10:53:47 PM,11:07:47 PM,3,Tandoori Chicken,360,1080,Weekday,Night,Non-Peak Time,0,0,32,7,14,53,50,5,No issuse
OD1690,11/1/2024,Whitefield,Delivered,COD,11:37:11 AM,12:18:11 PM,12:19:11 PM,12:29:11 PM,2,Idli,65,130,Weekend,Morning,Non-Peak Time,0,0,41,1,10,52,32,5,Delayed
OD1154,11/18/2024,Marathahalli,Delivered,Credit Card,10:01:45 AM,10:32:45 AM,10:34:45 AM,10:46:45 AM,2,Puri Bhaji,150,300,Weekday,Morning,Non-Peak Time,0,0,31,2,12,45,27,5,Delayed
OD0696,11/11/2024,Indiranagar,Delivered,COD,8:02:17 PM,8:39:17 PM,8:45:17 PM,9:00:17 PM,3,Pizza,450,1350,Weekday,Night,Peak time,0,0,37,6,15,58,43,20,No issuse
OD2052,11/11/2024,MG Road,Delivered,Credit Card,1:38:00 PM,2:00:00 PM,2:02:00 PM,2:17:00 PM,6,Pav Bhaji,150,900,Weekday,Noon,Non-Peak Time,0,0,22,2,15,39,42,5,No issuse
OD2053,11/10/2024,Malleswaram,Delivered,UPI,4:53:42 PM,5:17:42 PM,5:22:42 PM,5:36:42 PM,2,Burger,210,420,Weekend,Evening,Non-Peak Time,0,0,24,5,14,43,28,5,Delayed
OD2054,11/24/2024,Jayanagar,Delivered,COD,9:00:13 AM,9:20:13 AM,9:30:13 AM,9:49:13 AM,2,Chole Bhature,200,400,Weekend,Morning,Peak time,0,0,20,10,19,49,36,20,No issuse
OD2055,11/20/2024,Whitefield,Delivered,Credit Card,10:57:37 PM,11:20:37 PM,11:25:37 PM,11:39:37 PM,2,Fish Curry,190,380,Weekday,Night,Non-Peak Time,0,0,23,5,14,42,32,5,Delayed
OD1272,11/20/2024,Malleswaram,Delivered,Online Payment,9:52:20 PM,10:10:20 PM,10:26:20 PM,10:39:20 PM,2,Pasta,250,500,Weekday,Night,Peak time,0,0,18,16,13,47,41,20,No issuse
OD0067,11/2/2024,MG Road,Delivered,UPI,8:26:58 AM,8:47:58 AM,8:49:58 AM,9:17:58 AM,1,Paneer Paratha,160,160,Weekend,Morning,Peak time,0,0,21,2,28,51,40,20,No issuse
OD1020,11/16/2024,Koramangala,Delivered,COD,8:12:52 PM,9:02:52 PM,9:04:52 PM,9:17:52 PM,1,Poha,75,75,Weekend,Night,Peak time,0,0,50,2,13,65,27,20,Delayed
OD1954,11/30/2024,Malleswaram,Delivered,Credit Card,3:19:19 PM,3:36:19 PM,3:38:19 PM,3:56:19 PM,5,Samosa,20,100,Weekend,Evening,Non-Peak Time,0,0,17,2,18,37,22,5,Delayed
OD1955,11/30/2024,MG Road,Delivered,Online Payment,8:55:46 PM,9:17:46 PM,9:19:46 PM,9:44:46 PM,1,Chicken Tikka,355,355,Weekend,Night,Peak time,0,0,22,2,25,49,32,20,No issuse
OD1273,11/20/2024,Marathahalli,Delivered,Credit Card,1:18:40 PM,2:10:40 PM,2:12:40 PM,2:40:40 PM,2,Chicken Curry,325,650,Weekday,Noon,Non-Peak Time,0,0,52,2,28,82,32,5,Delayed
OD0141,11/3/2024,MG Road,Delivered,COD,11:51:31 AM,12:03:31 PM,12:06:31 PM,12:30:31 PM,1,Masala Dosa,120,120,Weekend,Morning,Non-Peak Time,0,0,12,3,24,39,34,5,No issuse
OD0287,11/5/2024,Marathahalli,Delivered,Online Payment,5:26:08 PM,6:12:08 PM,6:14:08 PM,6:29:08 PM,2,Paneer Tikka,180,360,Weekday,Evening,Non-Peak Time,0,0,46,2,15,63,33,5,Delayed
OD1949,11/29/2024,HSR Layout,Cancelled,Not Required,,,,,0,Paneer Tikka,180,0,Weekend,Morning,Non-Peak Time,2,360,0,0,0,0,0,0,Cancelled
OD0627,11/10/2024,Marathahalli,Delivered,COD,10:50:26 PM,11:11:26 PM,11:13:26 PM,11:25:26 PM,1,Masala Dosa,120,120,Weekend,Night,Non-Peak Time,0,0,21,2,12,35,24,5,Delayed
OD1155,11/18/2024,Malleswaram,Delivered,Online Payment,3:43:43 PM,4:20:43 PM,4:22:43 PM,4:34:43 PM,2,Sushi,350,700,Weekday,Evening,Non-Peak Time,0,0,37,2,12,51,38,5,Delayed
OD0563,11/3/2024,Marathahalli,Delivered,COD,12:40:55 PM,1:24:55 PM,1:26:55 PM,1:49:55 PM,2,Masala Dosa,120,240,Weekend,Noon,Non-Peak Time,0,0,44,2,23,69,24,5,Delayed
OD0496,11/8/2024,Malleswaram,Delivered,Online Payment,8:33:12 PM,8:45:12 PM,8:53:12 PM,9:12:12 PM,2,Chicken Curry,325,650,Weekend,Night,Peak time,0,0,12,8,19,39,32,20,No issuse
OD1893,11/29/2024,MG Road,Delivered,Online Payment,12:58:56 PM,1:30:56 PM,1:32:56 PM,1:44:56 PM,1,Idli,65,65,Weekend,Noon,Non-Peak Time,0,0,32,2,12,46,37,5,Delayed
OD2056,11/9/2024,HSR Layout,Delivered,UPI,3:57:41 PM,4:10:41 PM,4:12:41 PM,4:34:41 PM,1,Pizza,450,450,Weekend,Evening,Non-Peak Time,0,0,13,2,22,37,48,5,No issuse
OD1691,11/26/2024,Jayanagar,Delivered,Credit Card,10:03:00 AM,10:17:00 AM,10:19:00 AM,10:51:00 AM,1,Puri Bhaji,150,150,Weekday,Morning,Non-Peak Time,0,0,14,2,32,48,29,5,Delayed
OD0697,11/15/2024,MG Road,Delivered,COD,11:32:36 PM,12:00:36 AM,12:02:36 AM,12:13:36 AM,3,Pizza,450,1350,Weekend,Night,Non-Peak Time,0,0,28,2,11,41,48,5,No issuse
OD0628,11/10/2024,Koramangala,Delivered,COD,1:04:19 PM,1:25:19 PM,1:27:19 PM,1:40:19 PM,2,Chicken Biryani,350,700,Weekend,Noon,Non-Peak Time,0,0,21,2,13,36,42,5,No issuse
OD0629,11/10/2024,Marathahalli,Delivered,COD,11:22:58 AM,12:03:58 PM,12:05:58 PM,12:19:58 PM,1,Chole Bhature,200,200,Weekend,Morning,Non-Peak Time,0,0,41,2,14,57,34,5,Delayed
OD0828,11/13/2024,HSR Layout,Delivered,Credit Card,11:41:54 PM,11:58:54 PM,12:00:54 AM,12:14:54 AM,1,Hakka Noodles,260,260,Weekday,Night,Non-Peak Time,0,0,17,2,14,33,38,5,No issuse
OD1563,11/24/2024,Marathahalli,Delivered,Credit Card,2:08:35 PM,3:03:35 PM,3:06:35 PM,3:29:35 PM,1,Chicken Tikka,355,355,Weekend,Noon,Non-Peak Time,0,0,55,3,23,81,22,5,Delayed
OD1434,11/22/2024,HSR Layout,Delivered,Online Payment,11:59:36 AM,12:12:36 PM,12:15:36 PM,12:29:36 PM,2,Chicken Biryani,350,700,Weekend,Morning,Non-Peak Time,0,0,13,3,14,30,52,5,No issuse
OD0002,11/1/2024,Marathahalli,Delivered,UPI,4:51:22 PM,5:46:22 PM,5:48:22 PM,6:14:22 PM,1,Pav Bhaji,150,150,Weekend,Evening,Non-Peak Time,0,0,55,2,26,83,32,5,Delayed
OD0419,11/7/2024,Jayanagar,Delivered,COD,8:07:16 AM,8:19:16 AM,8:21:16 AM,8:38:16 AM,5,Masala Dosa,120,600,Weekday,Morning,Peak time,0,0,12,2,17,31,26,20,No issuse
OD0630,11/10/2024,MG Road,Delivered,Online Payment,8:54:59 PM,9:11:59 PM,9:13:59 PM,9:31:59 PM,1,Paneer Tikka,180,180,Weekend,Night,Peak time,0,0,17,2,18,37,43,20,No issuse
OD1156,11/18/2024,Indiranagar,Delivered,Online Payment,7:51:04 PM,8:06:04 PM,8:08:04 PM,8:37:04 PM,2,Chicken Biryani,350,700,Weekday,Night,Peak time,0,0,15,2,29,46,47,20,No issuse
OD1692,11/23/2024,Indiranagar,Delivered,Online Payment,8:51:57 AM,9:07:57 AM,9:09:57 AM,9:29:57 AM,1,Poha,75,75,Weekend,Morning,Peak time,0,0,16,2,20,38,32,20,No issuse
OD1693,11/26/2024,Marathahalli,Delivered,Credit Card,6:47:07 PM,6:59:07 PM,7:01:07 PM,7:18:07 PM,1,Pizza,450,450,Weekday,Evening,Peak time,0,0,12,2,17,31,38,20,No issuse
