OrderID,Location,Item,Total Amount,Weekday Classification,Meal Time,Order Time,Food Preparation time,Driver Assign Time,Food Delivery Time,Standard Preparation time,Standard Driver Assign Time,Standard Delivery Time,Variance % Preparartion Time,Variance % Assign Time,Variance % Delivery Time,Preparation time,Assign Time,Delivery Time,Overall Remarks,Major Issuses,,
OD0627,Marathahalli,Masala Dosa,120,Weekend,Night,Non-Peak Time,21,2,12,12,2,10,75.00%,0.00%,20.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1155,Malleswaram,Sushi,700,Weekday,Evening,Non-Peak Time,37,2,12,26,2,10,42.31%,0.00%,20.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD0563,Marathahalli,Masala Dosa,240,Weekend,Noon,Non-Peak Time,44,2,23,12,2,10,266.67%,0.00%,130.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD1893,MG Road,Idli,65,Weekend,Noon,Non-Peak Time,32,2,12,15,2,20,113.33%,0.00%,-40.00%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1691,Jayanagar,Puri Bhaji,150,Weekday,Morning,Non-Peak Time,14,2,32,15,2,12,-6.67%,0.00%,166.67%,Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0629,Marathahalli,Chole Bhature,200,Weekend,Morning,Non-Peak Time,41,2,14,22,2,10,86.36%,0.00%,40.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD1563,Marathahalli,Chicken Tikka,355,Weekend,Noon,Non-Peak Time,55,3,23,10,2,10,450.00%,50.00%,130.00%,Immediate Attention,Delayed,Delayed,Risk,Preparation time,,
OD0002,Marathahalli,Pav Bhaji,150,Weekend,Evening,Non-Peak Time,55,2,26,20,2,10,175.00%,0.00%,160.00%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD0631,Jayanagar,Paneer Tikka,180,Weekend,Noon,Non-Peak Time,45,2,11,21,2,12,114.29%,0.00%,-8.33%,Delayed,On Time,Before Time,Preparation time,Preparation time,,
OD1694,Jayanagar,Burger,210,Weekend,Night,Peak time,47,2,35,16,2,12,193.75%,0.00%,191.67%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD0898,Koramangala,Butter Naan,160,Weekday,Night,Peak time,15,2,27,10,2,10,50.00%,0.00%,170.00%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD0762,Koramangala,Masala Dosa,480,Weekend,Morning,Peak time,25,13,10,12,2,10,108.33%,550.00%,0.00%,Delayed,Immediate Attention,On Time,Risk,Assign Time,,
OD0763,Indiranagar,Samosa,60,Weekday,Evening,Non-Peak Time,20,2,14,10,2,15,100.00%,0.00%,-6.67%,Delayed,On Time,Before Time,Preparation time,Preparation time,,
OD1359,MG Road,Aloo Paratha,220,Weekday,Night,Peak time,34,12,31,10,2,20,240.00%,500.00%,55.00%,Immediate Attention,Immediate Attention,Delayed,Risk,"Preparation time,Assign Time",,
OD1697,Whitefield,Samosa,100,Weekday,Evening,Non-Peak Time,20,6,15,10,2,15,100.00%,200.00%,0.00%,Delayed,Immediate Attention,On Time,Risk,Assign Time,,
OD0142,Malleswaram,Samosa,100,Weekend,Noon,Non-Peak Time,20,2,12,10,2,10,100.00%,0.00%,20.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD0068,Marathahalli,Hakka Noodles,260,Weekend,Evening,Non-Peak Time,54,2,30,16,2,10,237.50%,0.00%,200.00%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD1274,HSR Layout,Pasta,500,Weekday,Night,Peak time,43,12,39,29,2,20,48.28%,500.00%,95.00%,Delayed,Immediate Attention,Delayed,Risk,Assign Time,,
OD0958,Whitefield,Sushi,350,Weekend,Night,Peak time,47,2,33,26,2,15,80.77%,0.00%,120.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Delivery Time,,
OD0699,Whitefield,Butter Chicken,945,Weekday,Evening,Non-Peak Time,49,2,18,15,2,15,226.67%,0.00%,20.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD2059,Marathahalli,Hakka Noodles,520,Weekend,Noon,Non-Peak Time,27,2,11,16,2,10,68.75%,0.00%,10.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD0829,Jayanagar,Idli,195,Weekday,Morning,Peak time,28,2,47,15,2,12,86.67%,0.00%,291.67%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD1629,Jayanagar,Noodles,250,Weekday,Noon,Non-Peak Time,33,2,11,10,2,12,230.00%,0.00%,-8.33%,Immediate Attention,On Time,Before Time,Risk,Preparation time,,
OD0632,Whitefield,Masala Dosa,480,Weekend,Morning,Non-Peak Time,39,2,20,12,2,15,225.00%,0.00%,33.33%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD1822,Jayanagar,Masala Dosa,120,Weekday,Night,Peak time,60,2,11,12,2,12,400.00%,0.00%,-8.33%,Immediate Attention,On Time,Before Time,Risk,Preparation time,,
OD1956,Marathahalli,Paneer Tikka,180,Weekend,Noon,Non-Peak Time,15,2,29,21,2,10,-28.57%,0.00%,190.00%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD1699,Koramangala,Pizza,1350,Weekend,Noon,Non-Peak Time,15,2,29,26,2,10,-42.31%,0.00%,190.00%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD1957,Koramangala,Aloo Paratha,330,Weekend,Morning,Non-Peak Time,18,2,11,10,2,10,80.00%,0.00%,10.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD0959,Jayanagar,Burger,210,Weekend,Noon,Non-Peak Time,39,2,11,16,2,12,143.75%,0.00%,-8.33%,Delayed,On Time,Before Time,Preparation time,Preparation time,,
OD1021,Koramangala,Noodles,250,Weekend,Evening,Peak time,11,2,33,10,2,10,10.00%,0.00%,230.00%,Slight Delay,On Time,Immediate Attention,Risk,Delivery Time,,
OD1759,Koramangala,Fish Curry,190,Weekday,Evening,Non-Peak Time,50,2,10,15,2,10,233.33%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD0700,Marathahalli,Veg Biryani,580,Weekday,Evening,Peak time,20,2,46,25,2,10,-20.00%,0.00%,360.00%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0222,Whitefield,Puri Bhaji,300,Weekday,Morning,Non-Peak Time,50,2,11,15,2,15,233.33%,0.00%,-26.67%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD0701,Marathahalli,Burger,210,Weekday,Evening,Peak time,50,5,49,16,2,10,212.50%,150.00%,390.00%,Immediate Attention,Immediate Attention,Immediate Attention,Risk,"Preparation time,Assign Time,Delivery Time",,
OD1630,MG Road,Paneer Paratha,800,Weekend,Morning,Peak time,45,2,19,18,2,20,150.00%,0.00%,-5.00%,Immediate Attention,On Time,Before Time,Risk,Preparation time,,
OD1564,Koramangala,Butter Chicken,945,Weekend,Night,Peak time,38,2,10,15,2,10,153.33%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD0003,Jayanagar,Chicken Tikka,355,Weekend,Night,Peak time,44,2,11,10,2,12,340.00%,0.00%,-8.33%,Immediate Attention,On Time,Before Time,Risk,Preparation time,,
OD2060,BTM Layout,Chicken Tikka,710,Weekend,Noon,Non-Peak Time,24,5,14,10,2,15,140.00%,150.00%,-6.67%,Delayed,Immediate Attention,Before Time,Risk,Assign Time,,
OD1085,Jayanagar,Chicken Biryani,700,Weekend,Noon,Non-Peak Time,56,2,11,30,2,12,86.67%,0.00%,-8.33%,Delayed,On Time,Before Time,Preparation time,Preparation time,,
OD1275,Whitefield,Butter Chicken,945,Weekday,Evening,Non-Peak Time,21,2,18,15,2,15,40.00%,0.00%,20.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD0223,Jayanagar,Paneer Tikka,180,Weekday,Evening,Peak time,30,16,31,21,2,12,42.86%,700.00%,158.33%,Delayed,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD0342,Koramangala,Fried Rice,500,Weekday,Night,Non-Peak Time,38,4,10,20,2,10,90.00%,100.00%,0.00%,Delayed,Delayed,On Time,"Preparation time,Assign Time",Assign Time,,
OD1276,Koramangala,Burger,210,Weekday,Evening,Non-Peak Time,24,2,13,16,2,10,50.00%,0.00%,30.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD0830,Indiranagar,Poha,75,Weekday,Night,Peak time,48,2,15,15,2,15,220.00%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD1436,Indiranagar,Masala Dosa,120,Weekend,Evening,Non-Peak Time,48,3,13,12,2,15,300.00%,50.00%,-13.33%,Immediate Attention,Delayed,Way Before Time,Risk,Preparation time,,
OD1157,BTM Layout,Masala Dosa,120,Weekday,Noon,Non-Peak Time,37,2,12,12,2,15,208.33%,0.00%,-20.00%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD0764,MG Road,Burger,210,Weekday,Evening,Non-Peak Time,32,2,13,16,2,20,100.00%,0.00%,-35.00%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1502,Marathahalli,Tandoori Chicken,1080,Weekend,Night,Peak time,30,13,20,28,2,10,7.14%,550.00%,100.00%,Slight Delay,Immediate Attention,Delayed,Risk,Assign Time,,
OD1760,Jayanagar,Idli,130,Weekday,Morning,Peak time,23,2,56,15,2,12,53.33%,0.00%,366.67%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD1761,HSR Layout,Poha,150,Weekend,Morning,Peak time,15,2,75,15,2,20,0.00%,0.00%,275.00%,On Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD1895,Whitefield,Noodles,250,Weekend,Noon,Non-Peak Time,22,2,13,10,2,15,120.00%,0.00%,-13.33%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1437,Malleswaram,Butter Chicken,945,Weekend,Noon,Non-Peak Time,45,3,14,15,2,10,200.00%,50.00%,40.00%,Immediate Attention,Delayed,Delayed,Risk,Preparation time,,
OD0765,Koramangala,Noodles,250,Weekday,Noon,Non-Peak Time,22,2,15,10,2,10,120.00%,0.00%,50.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD1959,Whitefield,Pizza,450,Weekend,Evening,Non-Peak Time,40,2,13,26,2,15,53.85%,0.00%,-13.33%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD0226,Brigade Road,Poha,75,Weekday,Morning,Peak time,73,3,16,15,2,22,386.67%,50.00%,-27.27%,Immediate Attention,Delayed,Way Before Time,Risk,Preparation time,,
OD0900,BTM Layout,Aloo Paratha,220,Weekday,Morning,Peak time,13,10,33,10,2,15,30.00%,400.00%,120.00%,Slight Delay,Immediate Attention,Delayed,Risk,Assign Time,,
OD0227,Marathahalli,Idli,130,Weekday,Morning,Peak time,54,2,26,15,2,10,260.00%,0.00%,160.00%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD0963,Malleswaram,Fried Rice,500,Weekend,Noon,Non-Peak Time,19,2,17,20,2,10,-5.00%,0.00%,70.00%,Before Time,On Time,Delayed,Delivery Time,Delivery Time,,
OD0147,Marathahalli,Puri Bhaji,150,Weekend,Morning,Non-Peak Time,41,2,14,15,2,10,173.33%,0.00%,40.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD0565,HSR Layout,Samosa,20,Weekend,Evening,Non-Peak Time,25,2,14,10,2,20,150.00%,0.00%,-30.00%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD1438,Koramangala,Noodles,250,Weekend,Noon,Non-Peak Time,21,2,14,10,2,10,110.00%,0.00%,40.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD1086,Jayanagar,Sushi,350,Weekend,Night,Peak time,30,2,43,26,2,12,15.38%,0.00%,258.33%,Slight Delay,On Time,Immediate Attention,Risk,Delivery Time,,
OD1279,Koramangala,Burger,210,Weekday,Evening,Peak time,21,2,33,16,2,10,31.25%,0.00%,230.00%,Slight Delay,On Time,Immediate Attention,Risk,Delivery Time,,
OD0148,Malleswaram,Paneer Paratha,160,Weekend,Morning,Non-Peak Time,16,2,26,18,2,10,-11.11%,0.00%,160.00%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD1960,HSR Layout,Butter Naan,160,Weekend,Night,Peak time,27,2,26,10,2,20,170.00%,0.00%,30.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD0901,Jayanagar,Samosa,100,Weekday,Noon,Non-Peak Time,14,2,20,10,2,12,40.00%,0.00%,66.67%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Delivery Time,,
OD0005,Jayanagar,Fish Curry,190,Weekend,Night,Peak time,47,2,20,15,2,12,213.33%,0.00%,66.67%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD1827,Whitefield,Masala Dosa,120,Weekday,Night,Peak time,51,2,55,12,2,15,325.00%,0.00%,266.67%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD0149,Jayanagar,Mutton Biryani,780,Weekend,Night,Peak time,35,7,44,35,2,12,0.00%,250.00%,266.67%,On Time,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD1022,BTM Layout,Poha,300,Weekend,Morning,Non-Peak Time,15,2,21,15,2,15,0.00%,0.00%,40.00%,On Time,On Time,Delayed,Delivery Time,Delivery Time,,
OD0230,Malleswaram,Aloo Paratha,220,Weekday,Morning,Peak time,25,2,23,10,2,10,150.00%,0.00%,130.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD0831,Koramangala,Idli,130,Weekday,Morning,Peak time,49,2,14,15,2,10,226.67%,0.00%,40.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD1087,MG Road,Puri Bhaji,300,Weekend,Morning,Non-Peak Time,18,2,38,15,2,20,20.00%,0.00%,90.00%,Slight Delay,On Time,Delayed,Delivery Time,Delivery Time,,
OD1088,BTM Layout,Fish Curry,190,Weekend,Evening,Peak time,33,2,28,15,2,15,120.00%,0.00%,86.67%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD0566,Indiranagar,Paneer Paratha,320,Weekend,Morning,Non-Peak Time,26,2,15,18,2,15,44.44%,0.00%,0.00%,Delayed,On Time,On Time,Preparation time,Preparation time,,
OD0833,Whitefield,Burger,210,Weekday,Evening,Non-Peak Time,31,2,15,16,2,15,93.75%,0.00%,0.00%,Delayed,On Time,On Time,Preparation time,Preparation time,,
OD1702,Koramangala,Poha,375,Weekday,Morning,Non-Peak Time,19,2,17,15,2,10,26.67%,0.00%,70.00%,Slight Delay,On Time,Delayed,Delivery Time,Delivery Time,,
OD2067,Indiranagar,Noodles,250,Weekday,Evening,Non-Peak Time,17,6,16,10,2,15,70.00%,200.00%,6.67%,Delayed,Immediate Attention,Slight Delay,Risk,Assign Time,,
OD0965,Jayanagar,Chicken Biryani,350,Weekend,Noon,Non-Peak Time,45,2,12,30,2,12,50.00%,0.00%,0.00%,Delayed,On Time,On Time,Preparation time,Preparation time,,
OD0903,Marathahalli,Burger,210,Weekend,Evening,Peak time,36,2,55,16,2,10,125.00%,0.00%,450.00%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD1631,Marathahalli,Masala Dosa,240,Weekend,Morning,Non-Peak Time,22,2,22,12,2,10,83.33%,0.00%,120.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Delivery Time,,
OD1223,Marathahalli,Idli,65,Weekday,Morning,Peak time,52,6,29,15,2,10,246.67%,200.00%,190.00%,Immediate Attention,Immediate Attention,Immediate Attention,Risk,"Preparation time,Assign Time,Delivery Time",,
OD1504,Jayanagar,Veg Biryani,580,Weekend,Night,Peak time,57,2,34,25,2,12,128.00%,0.00%,183.33%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD0070,Whitefield,Puri Bhaji,450,Weekend,Morning,Non-Peak Time,53,1,14,15,2,15,253.33%,-50.00%,-6.67%,Immediate Attention,Way Before Time,Before Time,Risk,Preparation time,,
OD0568,Whitefield,Chole Bhature,200,Weekend,Morning,Non-Peak Time,42,1,11,22,2,15,90.91%,-50.00%,-26.67%,Delayed,Way Before Time,Way Before Time,Preparation time,Preparation time,,
OD0768,Jayanagar,Paneer Paratha,160,Weekday,Morning,Non-Peak Time,52,5,11,18,2,12,188.89%,150.00%,-8.33%,Immediate Attention,Immediate Attention,Before Time,Risk,"Preparation time,Assign Time",,
OD1282,Malleswaram,Poha,150,Weekday,Morning,Non-Peak Time,42,2,10,15,2,10,180.00%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD2069,Marathahalli,Paneer Tikka,180,Weekday,Evening,Peak time,13,2,42,21,2,10,-38.10%,0.00%,320.00%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0967,BTM Layout,Butter Naan,160,Weekend,Night,Peak time,24,2,29,10,2,15,140.00%,0.00%,93.33%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD0422,Jayanagar,Idli,130,Weekday,Night,Peak time,45,2,45,15,2,12,200.00%,0.00%,275.00%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD1363,Malleswaram,Hakka Noodles,260,Weekday,Evening,Non-Peak Time,24,2,11,16,2,10,50.00%,0.00%,10.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1161,MG Road,Fried Rice,500,Weekday,Evening,Peak time,23,2,43,20,2,20,15.00%,0.00%,115.00%,Slight Delay,On Time,Delayed,Delivery Time,Delivery Time,,
OD1364,Indiranagar,Fried Rice,500,Weekday,Night,Peak time,28,2,34,20,2,15,40.00%,0.00%,126.67%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Delivery Time,,
OD1704,Koramangala,Noodles,250,Weekday,Evening,Non-Peak Time,22,3,13,10,2,10,120.00%,50.00%,30.00%,Delayed,Delayed,Slight Delay,"Preparation time,Assign Time",Preparation time,,
OD1162,BTM Layout,Paneer Tikka,180,Weekday,Night,Peak time,44,2,14,21,2,15,109.52%,0.00%,-6.67%,Delayed,On Time,Before Time,Preparation time,Preparation time,,
OD0702,Marathahalli,Samosa,100,Weekday,Night,Peak time,35,2,16,10,2,10,250.00%,0.00%,60.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD0151,Jayanagar,Burger,210,Weekend,Evening,Non-Peak Time,24,2,43,16,2,12,50.00%,0.00%,258.33%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD1225,Koramangala,Butter Naan,160,Weekday,Night,Peak time,14,2,28,10,2,10,40.00%,0.00%,180.00%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD1226,Marathahalli,Hakka Noodles,260,Weekend,Night,Non-Peak Time,57,3,27,16,2,10,256.25%,50.00%,170.00%,Immediate Attention,Delayed,Immediate Attention,Risk,"Preparation time,Delivery Time",,
