OrderID,Order Date,Location,Order Status,Payment Method,Preparation Start time,Preparation End time,Delivery Start Time,Delivery End Time
OD0625,11/10/2024,Malleswaram,Delivered,COD,3:58:01 PM,4:15:01 PM,4:16:01 PM,4:29:01 PM
OD1219,11/22/2024,Malleswaram,Delivered,Online Payment,4:59:34 PM,5:32:34 PM,5:34:34 PM,5:48:34 PM
OD0337,11/9/2024,Malleswaram,Cancelled,Not Required,NA,NA,NA,NA
OD0495,11/8/2024,Whitefield,Delivered,UPI,2:13:04 PM,2:46:04 PM,2:48:04 PM,3:02:04 PM
OD0759,11/12/2024,Indiranagar,Delivered,Credit Card,10:20:29 PM,10:41:29 PM,10:43:29 PM,10:56:29 PM
OD1561,11/24/2024,Malleswaram,Delivered,UPI,10:57:11 AM,11:10:11 AM,11:12:11 AM,11:22:11 AM
OD1220,11/9/2024,BTM Layout,Delivered,Credit Card,8:26:02 AM,8:39:02 AM,8:57:02 AM,9:27:02 AM
OD0626,11/10/2024,Whitefield,Delivered,COD,12:07:23 PM,12:48:23 PM,12:50:23 PM,1:03:23 PM
OD1688,11/23/2024,Koramangala,Delivered,Online Payment,7:48:29 PM,8:11:29 PM,8:13:29 PM,8:25:29 PM
OD1689,11/26/2024,MG Road,Delivered,UPI,3:47:31 PM,4:20:31 PM,4:22:31 PM,4:35:31 PM
OD1562,11/24/2024,Indiranagar,Delivered,COD,1:10:10 PM,1:54:10 PM,1:56:10 PM,2:07:10 PM
OD0139,11/3/2024,HSR Layout,Delivered,Credit Card,2:59:13 PM,3:21:13 PM,3:23:13 PM,3:35:13 PM
OD2051,11/17/2024,BTM Layout,Delivered,COD,8:20:25 PM,8:40:25 PM,8:45:25 PM,9:00:25 PM
OD0064,11/2/2024,MG Road,Delivered,Credit Card,7:32:12 PM,8:01:12 PM,8:03:12 PM,8:45:12 PM
OD0957,11/15/2024,BTM Layout,Delivered,Online Payment,8:38:46 PM,9:13:46 PM,9:15:46 PM,10:00:46 PM
OD1892,11/9/2024,Jayanagar,Delivered,Credit Card,11:53:54 AM,12:16:54 PM,12:18:54 PM,12:37:54 PM
OD1624,11/25/2024,MG Road,Delivered,Online Payment,9:44:43 AM,10:31:43 AM,10:33:43 AM,11:18:43 AM
OD0140,11/3/2024,HSR Layout,Delivered,Online Payment,9:32:37 PM,10:03:37 PM,10:05:37 PM,10:20:37 PM
OD1356,11/21/2024,Malleswaram,Delivered,UPI,5:55:18 PM,6:11:18 PM,6:26:18 PM,6:58:18 PM
OD0065,11/2/2024,Marathahalli,Delivered,Credit Card,1:51:35 PM,2:11:35 PM,2:13:35 PM,2:26:35 PM
OD0221,11/1/2024,Koramangala,Delivered,Credit Card,4:21:25 PM,4:40:25 PM,4:42:25 PM,4:56:25 PM
OD1357,11/21/2024,Marathahalli,Delivered,UPI,8:58:19 AM,9:32:19 AM,9:43:19 AM,10:15:19 AM
OD0339,11/6/2024,MG Road,Delivered,COD,11:26:32 AM,11:40:32 AM,11:42:32 AM,11:57:32 AM
OD1153,11/18/2024,Marathahalli,Delivered,UPI,11:00:02 PM,11:30:02 PM,11:32:02 PM,11:45:02 PM
OD1083,11/17/2024,Malleswaram,Delivered,UPI,9:32:30 PM,9:56:30 PM,9:58:30 PM,10:11:30 PM
OD0340,11/9/2024,Koramangala,Delivered,UPI,8:26:38 PM,8:47:38 PM,8:54:38 PM,9:06:38 PM
OD0760,11/12/2024,Jayanagar,Delivered,UPI,5:55:22 PM,6:10:22 PM,6:28:22 PM,7:18:22 PM
OD0412,11/9/2024,Jayanagar,Cancelled,Not Required,NA,NA,NA,NA
OD0341,11/2/2024,BTM Layout,Delivered,Online Payment,8:34:45 PM,9:23:45 PM,9:27:45 PM,9:39:45 PM
OD0066,11/2/2024,Indiranagar,Delivered,Online Payment,9:36:00 PM,10:13:00 PM,10:15:00 PM,10:33:00 PM
OD0897,11/14/2024,Koramangala,Delivered,COD,9:53:31 PM,10:07:31 PM,10:09:31 PM,10:31:31 PM
OD1625,11/25/2024,Indiranagar,Delivered,Online Payment,2:29:34 PM,2:52:34 PM,2:54:34 PM,3:05:34 PM
OD0761,11/12/2024,Jayanagar,Delivered,UPI,7:07:15 PM,7:55:15 PM,8:05:15 PM,8:38:15 PM
OD0417,11/7/2024,HSR Layout,Delivered,Credit Card,9:58:34 PM,10:34:34 PM,10:36:34 PM,10:52:34 PM
OD1626,11/25/2024,BTM Layout,Delivered,Online Payment,12:13:58 PM,12:24:58 PM,12:26:58 PM,12:41:58 PM
OD1358,11/21/2024,Indiranagar,Delivered,UPI,9:30:46 AM,10:07:46 AM,10:09:46 AM,10:29:46 AM
OD1500,11/23/2024,MG Road,Delivered,Online Payment,2:33:26 PM,2:55:26 PM,2:57:26 PM,3:09:26 PM
OD1821,11/30/2024,Whitefield,Cancelled,Not Required,NA,NA,NA,NA
OD0418,11/7/2024,Jayanagar,Delivered,Online Payment,8:46:39 PM,9:14:39 PM,9:16:39 PM,9:29:39 PM
OD1627,11/8/2024,Brigade Road,Delivered,COD,5:11:07 PM,5:24:07 PM,5:26:07 PM,5:38:07 PM
OD1271,11/20/2024,HSR Layout,Delivered,Online Payment,10:14:47 PM,10:46:47 PM,10:53:47 PM,11:07:47 PM
OD1690,11/1/2024,Whitefield,Delivered,COD,11:37:11 AM,12:18:11 PM,12:19:11 PM,12:29:11 PM
OD1154,11/18/2024,Marathahalli,Delivered,Credit Card,10:01:45 AM,10:32:45 AM,10:34:45 AM,10:46:45 AM
OD0696,11/11/2024,Indiranagar,Delivered,COD,8:02:17 PM,8:39:17 PM,8:45:17 PM,9:00:17 PM
OD2052,11/11/2024,MG Road,Delivered,Credit Card,1:38:00 PM,2:00:00 PM,2:02:00 PM,2:17:00 PM
OD2053,11/10/2024,Malleswaram,Delivered,UPI,4:53:42 PM,5:17:42 PM,5:22:42 PM,5:36:42 PM
OD2054,11/24/2024,Jayanagar,Delivered,COD,9:00:13 AM,9:20:13 AM,9:30:13 AM,9:49:13 AM
OD2055,11/20/2024,Whitefield,Delivered,Credit Card,10:57:37 PM,11:20:37 PM,11:25:37 PM,11:39:37 PM
OD1272,11/20/2024,Malleswaram,Delivered,Online Payment,9:52:20 PM,10:10:20 PM,10:26:20 PM,10:39:20 PM
OD0067,11/2/2024,MG Road,Delivered,UPI,8:26:58 AM,8:47:58 AM,8:49:58 AM,9:17:58 AM
OD1020,11/16/2024,Koramangala,Delivered,COD,8:12:52 PM,9:02:52 PM,9:04:52 PM,9:17:52 PM
OD1954,11/30/2024,Malleswaram,Delivered,Credit Card,3:19:19 PM,3:36:19 PM,3:38:19 PM,3:56:19 PM
OD1955,11/30/2024,MG Road,Delivered,Online Payment,8:55:46 PM,9:17:46 PM,9:19:46 PM,9:44:46 PM
OD1273,11/20/2024,Marathahalli,Delivered,Credit Card,1:18:40 PM,2:10:40 PM,2:12:40 PM,2:40:40 PM
OD0141,11/3/2024,MG Road,Delivered,COD,11:51:31 AM,12:03:31 PM,12:06:31 PM,12:30:31 PM
OD0287,11/5/2024,Marathahalli,Delivered,Online Payment,5:26:08 PM,6:12:08 PM,6:14:08 PM,6:29:08 PM
OD1949,11/29/2024,HSR Layout,Cancelled,Not Required,NA,NA,NA,NA
OD0627,11/10/2024,Marathahalli,Delivered,COD,10:50:26 PM,11:11:26 PM,11:13:26 PM,11:25:26 PM
OD1155,11/18/2024,Malleswaram,Delivered,Online Payment,3:43:43 PM,4:20:43 PM,4:22:43 PM,4:34:43 PM
OD0563,11/3/2024,Marathahalli,Delivered,COD,12:40:55 PM,1:24:55 PM,1:26:55 PM,1:49:55 PM
OD0496,11/8/2024,Malleswaram,Delivered,Online Payment,8:33:12 PM,8:45:12 PM,8:53:12 PM,9:12:12 PM
OD1893,11/29/2024,MG Road,Delivered,Online Payment,12:58:56 PM,1:30:56 PM,1:32:56 PM,1:44:56 PM
OD2056,11/9/2024,HSR Layout,Delivered,UPI,3:57:41 PM,4:10:41 PM,4:12:41 PM,4:34:41 PM
OD1691,11/26/2024,Jayanagar,Delivered,Credit Card,10:03:00 AM,10:17:00 AM,10:19:00 AM,10:51:00 AM
OD0697,11/15/2024,MG Road,Delivered,COD,11:32:36 PM,12:00:36 AM,12:02:36 AM,12:13:36 AM
OD0628,11/10/2024,Koramangala,Delivered,COD,1:04:19 PM,1:25:19 PM,1:27:19 PM,1:40:19 PM
OD0629,11/10/2024,Marathahalli,Delivered,COD,11:22:58 AM,12:03:58 PM,12:05:58 PM,12:19:58 PM
OD0828,11/13/2024,HSR Layout,Delivered,Credit Card,11:41:54 PM,11:58:54 PM,12:00:54 AM,12:14:54 AM
OD1563,11/24/2024,Marathahalli,Delivered,Credit Card,2:08:35 PM,3:03:35 PM,3:06:35 PM,3:29:35 PM
OD1434,11/22/2024,HSR Layout,Delivered,Online Payment,11:59:36 AM,12:12:36 PM,12:15:36 PM,12:29:36 PM
OD0002,11/1/2024,Marathahalli,Delivered,UPI,4:51:22 PM,5:46:22 PM,5:48:22 PM,6:14:22 PM
OD0419,11/7/2024,Jayanagar,Delivered,COD,8:07:16 AM,8:19:16 AM,8:21:16 AM,8:38:16 AM
OD0630,11/10/2024,MG Road,Delivered,Online Payment,8:54:59 PM,9:11:59 PM,9:13:59 PM,9:31:59 PM
OD1156,11/18/2024,Indiranagar,Delivered,Online Payment,7:51:04 PM,8:06:04 PM,8:08:04 PM,8:37:04 PM
OD1692,11/23/2024,Indiranagar,Delivered,Online Payment,8:51:57 AM,9:07:57 AM,9:09:57 AM,9:29:57 AM
OD1693,11/26/2024,Marathahalli,Delivered,Credit Card,6:47:07 PM,6:59:07 PM,7:01:07 PM,7:18:07 PM
OD0288,11/16/2024,Koramangala,Delivered,UPI,6:33:41 PM,6:57:41 PM,6:59:41 PM,7:09:41 PM
OD0631,11/10/2024,Jayanagar,Delivered,Credit Card,12:12:59 PM,12:57:59 PM,12:59:59 PM,1:10:59 PM
OD1694,11/10/2024,Jayanagar,Delivered,COD,9:28:34 PM,10:15:34 PM,10:17:34 PM,10:52:34 PM
OD0898,11/14/2024,Koramangala,Delivered,Online Payment,9:07:04 PM,9:22:04 PM,9:24:04 PM,9:51:04 PM
OD0762,11/30/2024,Koramangala,Delivered,Credit Card,9:40:34 AM,10:05:34 AM,10:18:34 AM,10:28:34 AM
OD1628,11/25/2024,Indiranagar,Delivered,Credit Card,6:13:38 PM,6:35:38 PM,6:37:38 PM,6:55:38 PM
OD2057,11/30/2024,Indiranagar,Delivered,COD,2:40:01 PM,3:00:01 PM,3:03:01 PM,3:15:01 PM
OD0763,11/12/2024,Indiranagar,Delivered,UPI,3:25:03 PM,3:45:03 PM,3:47:03 PM,4:01:03 PM
OD1695,11/26/2024,Koramangala,Delivered,COD,8:55:47 PM,9:15:47 PM,9:17:47 PM,9:31:47 PM
OD0497,11/8/2024,HSR Layout,Delivered,Online Payment,8:01:22 PM,8:12:22 PM,8:15:22 PM,8:38:22 PM
OD1950,11/29/2024,Koramangala,Cancelled,Not Required,NA,NA,NA,NA
OD0289,11/5/2024,MG Road,Delivered,COD,11:54:42 PM,12:10:42 AM,12:16:42 AM,12:28:42 AM
OD1696,11/24/2024,MG Road,Delivered,Credit Card,5:19:51 PM,5:39:51 PM,5:41:51 PM,5:51:51 PM
OD1359,11/21/2024,MG Road,Delivered,Credit Card,8:10:47 PM,8:44:47 PM,8:56:47 PM,9:27:47 PM
OD1697,11/26/2024,Whitefield,Delivered,Online Payment,4:55:21 PM,5:15:21 PM,5:21:21 PM,5:36:21 PM
OD0142,11/3/2024,Malleswaram,Delivered,COD,12:42:24 PM,1:02:24 PM,1:04:24 PM,1:16:24 PM
OD1698,11/26/2024,HSR Layout,Delivered,UPI,10:17:55 AM,10:32:55 AM,10:34:55 AM,10:54:55 AM
OD0068,11/2/2024,Marathahalli,Delivered,UPI,3:00:30 PM,3:54:30 PM,3:56:30 PM,4:26:30 PM
OD1274,11/20/2024,HSR Layout,Delivered,COD,9:49:28 PM,10:32:28 PM,10:44:28 PM,11:23:28 PM
OD0958,11/15/2024,Whitefield,Delivered,Credit Card,7:20:43 PM,8:07:43 PM,8:09:43 PM,8:42:43 PM
OD0698,11/9/2024,HSR Layout,Delivered,COD,11:35:11 PM,11:58:11 PM,12:00:11 AM,12:12:11 AM
OD0699,11/11/2024,Whitefield,Delivered,Online Payment,3:30:55 PM,4:19:55 PM,4:21:55 PM,4:39:55 PM
OD2058,11/8/2024,Brigade Road,Delivered,Credit Card,8:00:54 AM,8:20:54 AM,8:25:54 AM,8:40:54 AM
OD2059,11/15/2024,Marathahalli,Delivered,UPI,12:58:56 PM,1:25:56 PM,1:27:56 PM,1:38:56 PM
OD0498,11/8/2024,BTM Layout,Delivered,Online Payment,9:14:51 PM,9:24:51 PM,9:26:51 PM,9:58:51 PM
OD0829,11/13/2024,Jayanagar,Delivered,Credit Card,8:54:07 AM,9:22:07 AM,9:24:07 AM,10:11:07 AM
OD1629,11/25/2024,Jayanagar,Delivered,UPI,1:37:15 PM,2:10:15 PM,2:12:15 PM,2:23:15 PM
OD1435,11/22/2024,BTM Layout,Delivered,UPI,7:51:45 AM,8:04:45 AM,8:16:45 AM,8:27:45 AM
OD0632,11/10/2024,Whitefield,Delivered,Online Payment,10:13:51 AM,10:52:51 AM,10:54:51 AM,11:14:51 AM
OD0143,11/3/2024,Koramangala,Delivered,Credit Card,12:25:20 PM,12:37:20 PM,12:39:20 PM,12:50:20 PM
OD1822,11/28/2024,Jayanagar,Delivered,COD,8:31:51 PM,9:31:51 PM,9:33:51 PM,9:44:51 PM
OD1221,11/19/2024,Indiranagar,Delivered,Online Payment,3:51:40 PM,4:02:40 PM,4:04:40 PM,4:18:40 PM
OD1956,11/30/2024,Marathahalli,Delivered,COD,1:03:17 PM,1:18:17 PM,1:20:17 PM,1:49:17 PM
OD1699,11/22/2024,Koramangala,Delivered,Credit Card,2:03:17 PM,2:18:17 PM,2:20:17 PM,2:49:17 PM
OD1957,11/30/2024,Koramangala,Delivered,COD,10:39:59 AM,10:57:59 AM,10:59:59 AM,11:10:59 AM
OD0959,11/15/2024,Jayanagar,Delivered,Credit Card,12:07:48 PM,12:46:48 PM,12:48:48 PM,12:59:48 PM
OD2013,11/30/2024,Indiranagar,Cancelled,Not Required,NA,NA,NA,NA
OD1084,11/17/2024,HSR Layout,Delivered,Credit Card,6:13:49 PM,6:25:49 PM,6:27:49 PM,6:49:49 PM
OD1360,11/21/2024,Koramangala,Delivered,Credit Card,12:38:31 PM,12:49:31 PM,12:51:31 PM,1:04:31 PM
OD1021,11/16/2024,Koramangala,Delivered,COD,6:36:45 PM,6:47:45 PM,6:49:45 PM,7:22:45 PM
OD1759,11/27/2024,Koramangala,Delivered,Online Payment,3:05:57 PM,3:55:57 PM,3:57:57 PM,4:07:57 PM
OD1823,11/28/2024,Malleswaram,Delivered,Online Payment,3:20:41 PM,3:32:41 PM,3:36:41 PM,3:58:41 PM
OD0700,11/11/2024,Marathahalli,Delivered,COD,6:47:18 PM,7:07:18 PM,7:09:18 PM,7:55:18 PM
OD0222,11/4/2024,Whitefield,Delivered,UPI,11:03:00 AM,11:53:00 AM,11:55:00 AM,12:06:00 PM
OD0960,11/15/2024,HSR Layout,Delivered,Credit Card,10:15:22 AM,10:32:22 AM,10:34:22 AM,10:48:22 AM
OD0701,11/11/2024,Marathahalli,Delivered,Credit Card,6:35:35 PM,7:25:35 PM,7:30:35 PM,8:19:35 PM
OD1630,11/10/2024,MG Road,Delivered,UPI,8:20:53 AM,9:05:53 AM,9:07:53 AM,9:26:53 AM
OD1564,11/24/2024,Koramangala,Delivered,UPI,8:58:50 PM,9:36:50 PM,9:38:50 PM,9:48:50 PM
OD0003,11/1/2024,Jayanagar,Delivered,Online Payment,9:16:27 PM,10:00:27 PM,10:02:27 PM,10:13:27 PM
OD2060,11/3/2024,BTM Layout,Delivered,COD,2:10:58 PM,2:34:58 PM,2:39:58 PM,2:53:58 PM
OD2061,11/7/2024,MG Road,Delivered,Credit Card,1:15:00 PM,1:40:00 PM,1:45:00 PM,2:00:00 PM
OD1085,11/17/2024,Jayanagar,Delivered,Credit Card,12:13:41 PM,1:09:41 PM,1:11:41 PM,1:22:41 PM
OD1501,11/23/2024,MG Road,Delivered,COD,12:40:56 PM,12:54:56 PM,12:56:56 PM,1:06:56 PM
OD1275,11/20/2024,Whitefield,Delivered,Online Payment,3:10:04 PM,3:31:04 PM,3:33:04 PM,3:51:04 PM
OD0223,11/4/2024,Jayanagar,Delivered,UPI,6:46:34 PM,7:16:34 PM,7:32:34 PM,8:03:34 PM
OD0342,11/6/2024,Koramangala,Delivered,Online Payment,11:07:19 PM,11:45:19 PM,11:49:19 PM,11:59:19 PM
OD1700,11/23/2024,Koramangala,Delivered,COD,1:10:47 PM,1:31:47 PM,1:33:47 PM,1:48:47 PM
OD0144,11/3/2024,HSR Layout,Delivered,Credit Card,7:32:40 PM,7:52:40 PM,7:54:40 PM,8:23:40 PM
OD1276,11/20/2024,Koramangala,Delivered,COD,4:07:28 PM,4:31:28 PM,4:33:28 PM,4:46:28 PM
OD0830,11/13/2024,Indiranagar,Delivered,COD,9:43:07 PM,10:31:07 PM,10:33:07 PM,10:48:07 PM
OD1436,11/22/2024,Indiranagar,Delivered,UPI,5:37:52 PM,6:25:52 PM,6:28:52 PM,6:41:52 PM
OD2015,11/1/2024,Indiranagar,Delivered,Online Payment,1:33:26 PM,1:44:26 PM,1:46:26 PM,1:58:26 PM
OD0420,11/7/2024,MG Road,Delivered,UPI,8:50:21 PM,9:21:21 PM,9:23:21 PM,9:51:21 PM
OD1894,11/29/2024,HSR Layout,Delivered,Credit Card,1:53:58 PM,2:14:58 PM,2:16:58 PM,2:27:58 PM
OD1222,11/19/2024,Indiranagar,Delivered,Credit Card,2:27:33 PM,2:43:33 PM,2:45:33 PM,2:58:33 PM
OD0564,11/9/2024,Marathahalli,Delivered,Online Payment,3:20:59 PM,3:36:59 PM,3:38:59 PM,3:53:59 PM
OD0499,11/8/2024,Koramangala,Delivered,Online Payment,12:49:38 PM,1:15:38 PM,1:17:38 PM,1:27:38 PM
OD1958,11/30/2024,MG Road,Delivered,Credit Card,8:43:27 PM,8:58:27 PM,9:01:27 PM,9:37:27 PM
OD1157,11/18/2024,BTM Layout,Delivered,Credit Card,12:50:33 PM,1:27:33 PM,1:29:33 PM,1:41:33 PM
OD1824,11/28/2024,Brigade Road,Delivered,Credit Card,11:27:27 PM,11:53:27 PM,11:55:27 PM,12:08:27 AM
OD0224,11/4/2024,Koramangala,Delivered,Online Payment,6:04:12 PM,6:25:12 PM,6:27:12 PM,6:39:12 PM
OD1277,11/23/2024,Malleswaram,Delivered,Online Payment,8:02:02 PM,8:25:02 PM,8:27:02 PM,8:39:02 PM
OD0899,11/16/2024,Brigade Road,Delivered,UPI,12:08:59 PM,12:19:59 PM,12:21:59 PM,12:40:59 PM
OD0764,11/12/2024,MG Road,Delivered,COD,5:02:03 PM,5:34:03 PM,5:36:03 PM,5:49:03 PM
OD1565,11/24/2024,MG Road,Delivered,Credit Card,12:21:46 PM,12:45:46 PM,12:47:46 PM,1:01:46 PM
OD0225,11/2/2024,HSR Layout,Delivered,UPI,10:49:26 AM,11:06:26 AM,11:08:26 AM,11:24:26 AM
OD0145,11/3/2024,MG Road,Delivered,UPI,3:57:43 PM,4:17:43 PM,4:18:43 PM,4:29:43 PM
OD0413,11/23/2024,Brigade Road,Cancelled,Not Required,NA,NA,NA,NA
OD2016,11/1/2024,BTM Layout,Delivered,Online Payment,11:53:58 AM,12:05:58 PM,12:06:58 PM,12:19:58 PM
OD1361,11/21/2024,HSR Layout,Delivered,Credit Card,6:10:58 PM,6:42:58 PM,6:44:58 PM,7:04:58 PM
OD1502,11/23/2024,Marathahalli,Delivered,UPI,9:01:20 PM,9:31:20 PM,9:44:20 PM,10:04:20 PM
OD1760,11/27/2024,Jayanagar,Delivered,COD,9:11:53 AM,9:34:53 AM,9:36:53 AM,10:32:53 AM
OD0961,11/15/2024,Indiranagar,Delivered,COD,9:23:00 AM,9:47:00 AM,9:50:00 AM,10:05:00 AM
OD2062,11/8/2024,Malleswaram,Delivered,UPI,9:25:04 AM,9:45:04 AM,9:50:04 AM,10:02:04 AM
OD2063,11/26/2024,Jayanagar,Delivered,COD,6:20:39 PM,6:40:39 PM,6:45:39 PM,7:02:39 PM
OD1761,11/29/2024,HSR Layout,Delivered,Online Payment,9:06:31 AM,9:21:31 AM,9:23:31 AM,10:38:31 AM
OD1895,11/29/2024,Whitefield,Delivered,Credit Card,12:18:00 PM,12:40:00 PM,12:42:00 PM,12:55:00 PM
OD0069,11/2/2024,HSR Layout,Delivered,UPI,4:06:55 PM,4:30:55 PM,4:32:55 PM,4:51:55 PM
OD1437,11/22/2024,Malleswaram,Delivered,Online Payment,1:48:57 PM,2:33:57 PM,2:36:57 PM,2:50:57 PM
OD0765,11/12/2024,Koramangala,Delivered,UPI,12:46:54 PM,1:08:54 PM,1:10:54 PM,1:25:54 PM
OD0146,11/3/2024,Indiranagar,Delivered,COD,9:18:47 PM,9:29:47 PM,9:30:47 PM,9:42:47 PM
OD1959,11/30/2024,Whitefield,Delivered,Credit Card,3:41:55 PM,4:21:55 PM,4:23:55 PM,4:36:55 PM
OD0290,11/5/2024,BTM Layout,Delivered,Online Payment,8:44:29 PM,8:57:29 PM,8:59:29 PM,9:25:29 PM
OD0226,11/4/2024,Brigade Road,Delivered,UPI,8:10:15 AM,9:23:15 AM,9:26:15 AM,9:42:15 AM
OD0962,11/15/2024,MG Road,Delivered,UPI,6:57:57 PM,7:33:57 PM,7:35:57 PM,8:03:57 PM
OD1825,11/28/2024,Indiranagar,Delivered,Credit Card,10:45:05 AM,10:57:05 AM,10:59:05 AM,11:10:05 AM
OD0900,11/14/2024,BTM Layout,Delivered,UPI,8:49:34 AM,9:02:34 AM,9:12:34 AM,9:45:34 AM
OD0227,11/4/2024,Marathahalli,Delivered,Online Payment,8:53:35 AM,9:47:35 AM,9:49:35 AM,10:15:35 AM
OD0963,11/15/2024,Malleswaram,Delivered,COD,12:58:00 PM,1:17:00 PM,1:19:00 PM,1:36:00 PM
